term,concept_id,preferred_label,original_term,original_class,class,regex,abc_role,abc_subrole,domain,concept_family,node_level,analysis_tier,atlas_layer,include_primary,primary_atlas_eligible,retain_reason,notes,dictionary_hit_present,corpus_hit_n,corpus_hit_pct,outcomes_supported,outcome_support_vector,total_outcome_cohit_articles,max_outcome_cohit_articles,dominant_outcome,separation_reason
CTD_ILD_comparator,RAILD_V2_173,CTD-ILD comparator context,CTD_ILD_comparator,population,population,(?i:\b(CTD[-\s]?ILD|connective\s+tissue\s+disease[-\s]?(associated|related)?\s*interstitial\s+lung\s+disease|autoimmune\s+rheumatic\s+disease[-\s]?(associated|related)?\s*interstitial\s+lung\s+disease|ARD[-\s]?ILD)\b),context,context_population_or_comparator,context_population,context_population,context,context,context_only,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=71/1493; A/population/comparator category; frequent in corpus; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,72,4.82,2,AE-ILD=0; progression=26; mortality=26,52,26,progression,Comparator or literature-context node not interpreted as RA-ILD worsening factor.
MCTD_UCTD_IPAF,RAILD_V2_178,MCTD/UCTD/IPAF comparator,MCTD_UCTD_IPAF,population,population,(?i:\b(mixed\s+connective\s+tissue\s+disease|undifferentiated\s+connective\s+tissue\s+disease|\bMCTD\b|\bUCTD\b|interstitial\s+pneumonia\s+with\s+autoimmune\s+features|\bIPAF\b)\b),context,context_population_or_comparator,context_population,context_population,context,context,context_only,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=67/1493; A/population/comparator; frequent in corpus; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,67,4.49,2,AE-ILD=0; progression=18; mortality=22,40,22,mortality,Comparator or literature-context node not interpreted as RA-ILD worsening factor.
SLE,RAILD_V2_176,SLE,SLE,population,population,(?i:\b(systemic\s+lupus\s+erythematosus|\bSLE\b)\b),context,context_population_or_comparator,context_population,context_population,context,context,context_only,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=122/1493; A/population/comparator; frequent in corpus; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,122,8.17,3,AE-ILD=1; progression=18; mortality=28,47,28,mortality,Comparator or literature-context node not interpreted as RA-ILD worsening factor.
Sjogren_syndrome,RAILD_V2_174,Sjogren syndrome,Sjogren_syndrome,population,population,(?i:\b(Sj[oö]gren'?s?\s+syndrome|primary\s+Sj[oö]gren'?s?|\bpSS\b)\b),context,context_population_or_comparator,context_population,context_population,context,context,context_only,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=326/1493; A/population/comparator; frequent in corpus; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,328,21.97,3,AE-ILD=5; progression=49; mortality=76,130,76,mortality,Comparator or literature-context node not interpreted as RA-ILD worsening factor.
inflammatory_myopathy,RAILD_V2_177,inflammatory myopathy,inflammatory_myopathy,population,population,(?i:\b(dermatomyositis|polymyositis|idiopathic\s+inflammatory\s+myopath(y|ies)|IIM|antisynthetase\s+syndrome|anti[-\s]?synthetase\s+syndrome)\b),context,context_population_or_comparator,context_population,context_population,context,context,context_only,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=140/1493; A/population/comparator; frequent in corpus; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,141,9.44,3,AE-ILD=2; progression=32; mortality=40,74,40,mortality,Comparator or literature-context node not interpreted as RA-ILD worsening factor.
systemic_sclerosis,RAILD_V2_175,systemic sclerosis,systemic_sclerosis,population,population,(?i:\b(systemic\s+sclerosis|scleroderma|\bSSc\b)\b),context,context_population_or_comparator,context_population,context_population,context,context,context_only,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=219/1493; A/population/comparator; frequent in corpus; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,219,14.67,3,AE-ILD=2; progression=49; mortality=55,106,55,mortality,Comparator or literature-context node not interpreted as RA-ILD worsening factor.
infection_triggered_AE_context,RAILD_V2_194,infection-associated AE-ILD context,infection_triggered_AE_context,event,event,"(?i:\b(?:acute\s+exacerbation(?:s)?|AE[-\s]?ILD|ILD[-\s]?AE)\b.{0,100}\b(?:due\s+to|triggered\s+by|precipitated\s+by|caused\s+by|associated\s+with|secondary\s+to|complicated\s+by|from)\b.{0,80}\b(?:respiratory\s+infection(?:s)?|pulmonary\s+infection(?:s)?|lung\s+infection(?:s)?|infection(?:s)?|infectious\s+pneumonia|bacterial\s+pneumonia|viral\s+pneumonia|Pneumocystis(?:\s+jirovecii)?\s+pneumonia|PJP|COVID[-\s]?19|SARS[-\s]?CoV[-\s]?2)\b|\b(?:respiratory\s+infection(?:s)?|pulmonary\s+infection(?:s)?|lung\s+infection(?:s)?|infectious\s+pneumonia|bacterial\s+pneumonia|viral\s+pneumonia|Pneumocystis(?:\s+jirovecii)?\s+pneumonia|PJP|COVID[-\s]?19|SARS[-\s]?CoV[-\s]?2)\b.{0,100}\b(?:triggered|precipitated|caused|associated\s+with|led\s+to|resulted\s+in)\b.{0,80}\b(?:acute\s+exacerbation(?:s)?|AE[-\s]?ILD|ILD[-\s]?AE)\b)",context,AE_ILD_infection_context,infection_safety_context,infection_AE_context,specific,infection_context,infection_context,FALSE,FALSE,clinically important AE-ILD trigger/differential context; separated from primary disease-state atlas,v2.2_final: new narrow infection/AE-ILD context term requiring an explicit trigger/association connector; excludes generic AE-ILD definitions such as acute exacerbation without infection.,TRUE,1,0.07,3,AE-ILD=1; progression=1; mortality=1,3,1,AE-ILD,"Infection context separated because trigger, complication, differential diagnosis and safety/outcome roles can overlap."
respiratory_infection_context,RAILD_V2_193,respiratory infection context,respiratory_infection_context,event,event,(?i:\b(?:respiratory|pulmonary|lung|lower\s+respiratory\s+tract)\s+infection(?:s)?\b|\b(?:infectious|bacterial|viral|fungal|opportunistic|COVID[-\s]?19|SARS[-\s]?CoV[-\s]?2|influenza|Pneumocystis(?:\s+jirovecii)?|tuberculous)\s+pneumonia\b|\bPJP\b),context,infection_respiratory_context,infection_safety_context,respiratory_infection_context,specific,infection_context,infection_context,FALSE,FALSE,clinically important infection/safety context; separated from primary disease-state atlas,v2.2_final: new infection/safety-context term; intentionally excludes standalone pneumonia to avoid interstitial-pneumonia and organizing-pneumonia collisions.,TRUE,39,2.61,3,AE-ILD=3; progression=10; mortality=18,31,18,mortality,"Infection context separated because trigger, complication, differential diagnosis and safety/outcome roles can overlap."
infection_safety_event,RAILD_V2_170,infection safety event,infection_event,event,event,(?i:\b(?:severe\s+infection(?:s)?|serious\s+infection(?:s)?|major\s+infection(?:s)?|opportunistic\s+infection(?:s)?|infectious\s+complication(?:s)?|infection[-\s]?related\s+hospitali[sz]ation|infection(?:s)?\s+(?:occurred|requiring\s+hospitali[sz]ation|leading\s+to\s+discontinuation|requiring\s+discontinuation)|tuberculosis|mycobacterial\s+infection(?:s)?|Pneumocystis(?:\s+jirovecii|\s+carinii)?\s+pneumonia|Pneumocystis\s+pneumonia|\bPJP\b)\b),context,infection_safety_context,infection_safety_context,infection_safety_event,specific,infection_context,infection_context,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=135/1493; A/event or safety signal; excludes generic pneumonia to reduce interstitial-pneumonia noise; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Restricted generic infection wording to severe/serious/opportunistic/hospitalization/discontinuation/specific infection-event contexts.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.; v2.2_final: renamed from infection_event and retained as infection/safety-context only; generic pneumonia remains excluded.,TRUE,57,3.82,3,AE-ILD=1; progression=9; mortality=20,30,20,mortality,"Infection context separated because trigger, complication, differential diagnosis and safety/outcome roles can overlap."
ILD_extent_severity,RAILD_V2_181,ILD extent severity,ILD_extent_severity,phenotype,phenotype,(?i:\b(ILD\s+(extent|severity|score|scores)|extent\s+of\s+(ILD|interstitial\s+lung\s+disease)|fibrosis\s+(score|scores|severity)|HRCT\s+(score|scores))\b),B,B_ILD_phenotype_or_extent,ILD_phenotype,severity_extent,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=64/1493; B/severity/extent phenotype; frequent in abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.; v2.2.2_measurement_patch: aggregate regex narrowed to avoid direct overlap with fibrosis_extent.,TRUE,61,4.09,3,AE-ILD=1; progression=19; mortality=22,42,22,mortality,Sensitivity/supporting node retained outside primary display rules.
pulmonary_fibrosis,RAILD_V2_180,pulmonary fibrosis,pulmonary_fibrosis,phenotype,phenotype,(?i:\b(pulmonary\s+fibrosis|lung\s+fibrosis|fibrosing\s+interstitial\s+lung\s+disease|fibrotic\s+interstitial\s+lung\s+disease|fibrotic\s+ILD)\b),B,B_ILD_phenotype_or_extent,ILD_phenotype,fibrotic_phenotype,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=405/1493; B/fibrotic phenotype; frequent in abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,413,27.66,3,AE-ILD=5; progression=105; mortality=118,228,118,mortality,Sensitivity/supporting node retained outside primary display rules.
airway_disease,RAILD_V2_044,airway disease,airway_disease,airway,airway,(?i:\b(airway\s+disease)\b),B,B_airway_disease,airway_disease,airway_disease,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,airway disease; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,31,2.08,2,AE-ILD=0; progression=5; mortality=7,12,7,mortality,Sensitivity/supporting node retained outside primary display rules.
VRS,RAILD_V2_048,VRS,VRS,qct,qct,(?i:\b(vessel[-\s]?related\s+structures|\bVRS\b)\b),B,B_measurement_derived_imaging_feature,measurement_derived_imaging_feature,measurement_derived_imaging_feature,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed; retained_for_sensitivity_as_measurement_derived_imaging_feature,vessel-related structures; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.; v2.2.2_measurement_patch: VRS moved to measurement-derived imaging sensitivity layer.,TRUE,1,0.07,2,AE-ILD=0; progression=1; mortality=1,2,1,progression,Measurement/modality node retained as sensitivity/supporting layer rather than primary disease-state bridge.
HRCT,RAILD_V2_179,HRCT,HRCT,radiology,radiology,(?i:\b(HRCT|high[-\s]?resolution\s+(computed\s+)?tomography|high[-\s]?resolution\s+CT)\b),B,B_measurement_modality,imaging_modality,measurement_modality,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed; retained_for_coverage_and_sensitivity_as_measurement_modality_not_primary_bridge,complete_from_abstract_20260504; abstract_n=330/1493; B/imaging modality; frequent in abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.; v2.2.1_hrct_modality_patch: HRCT retained as an imaging measurement modality but excluded from primary disease-state bridge analyses.,TRUE,330,22.1,3,AE-ILD=7; progression=73; mortality=108,188,108,mortality,Measurement/modality node retained as sensitivity/supporting layer rather than primary disease-state bridge.
quantitative_CT,RAILD_V2_047,quantitative CT,quantitative_CT,qct,qct,(?i:\b(quantitative\s+CT|quantitative\s+computed\s+tomography|\bQCT\b|CALIPER)\b),B,B_measurement_modality,imaging_modality,measurement_modality,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed; retained_for_coverage_and_sensitivity_as_quantitative_imaging_method_not_primary_bridge,QCT; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.; v2.2.2_measurement_patch: quantitative CT moved from primary disease-state bridge to measurement/sensitivity layer.,TRUE,10,0.67,2,AE-ILD=0; progression=5; mortality=3,8,5,progression,Measurement/modality node retained as sensitivity/supporting layer rather than primary disease-state bridge.
Cytokine_inflammation,RAILD_V2_105,Cytokine inflammation,Cytokine_inflammation,molecular,molecular,(?i:\b(?:IL[-\s]?(?:1|6|10|17|18|23)|TNF(?:[-\s]?(?:α|alpha))?|IFN(?:[-\s]?(?:γ|gamma))?|TGF(?:[-\s]?(?:β|beta))?|CXCL\d+|CCL\d+)\b),B,B_molecular_pathway,molecular_pathway,aggregate_inflammation_pathway,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,aggregated cytokine signature; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,123,8.24,3,AE-ILD=2; progression=32; mortality=27,61,32,progression,Sensitivity/supporting node retained outside primary display rules.
Fibrosis_pathway,RAILD_V2_106,Fibrosis pathway,Fibrosis_pathway,molecular,molecular,(?i:\b(?:TGF(?:[-\s]?(?:β|beta))?|Smad|α\s*SMA|alpha\s*SMA|collagen|fibronectin|periostin|CTGF|MMP\d*|YAP|TAZ)\b),B,B_molecular_pathway,molecular_pathway,aggregate_fibrosis_pathway,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,fibrosis signaling; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,138,9.24,3,AE-ILD=5; progression=35; mortality=26,66,35,progression,Sensitivity/supporting node retained outside primary display rules.
Immune_checkpoint,RAILD_V2_107,Immune checkpoint,Immune_checkpoint,molecular,molecular,(?i:\b(?:PD[-\s]?1|PD[-\s]?L1|CTLA[-\s]?4?|TIM[-\s]?3|LAG[-\s]?3)\b),B,B_molecular_pathway,molecular_pathway,aggregate_checkpoint_pathway,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,checkpoint molecules; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,7,0.47,2,AE-ILD=0; progression=1; mortality=3,4,3,mortality,Sensitivity/supporting node retained outside primary display rules.
Oxidative_stress_pathway,RAILD_V2_109,Oxidative stress pathway,Oxidative_stress_pathway,molecular,molecular,(?i:\b(?:NRF2|NFE2L2|KEAP1|GPX\d*|SOD\d*|catalase|MPO|4[-\s]?HNE|8[-\s]?OHdG|oxidative\s+stress|oxidant\s+stress|reactive\s+oxygen\s+species|malondialdehyde)\b),B,B_molecular_pathway,molecular_pathway,aggregate_oxidative_stress_pathway,aggregate,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,ROS/oxidative stress signature (word-bounded); safe_complete_patch_20260519; tightened; Removed standalone ROS token and replaced it with the full phrase reactive oxygen species; also avoided standalone MDA in the aggregate pathway.; v2_qc: No standalone ROS token; retains full phrase reactive oxygen species and specific oxidative markers to avoid substring/abbreviation errors.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,27,1.81,3,AE-ILD=1; progression=4; mortality=11,16,11,mortality,Sensitivity/supporting node retained outside primary display rules.
ILD_onset_incidence,RAILD_V2_191,ILD onset incidence,ILD_onset_incidence,outcome,outcome,(?i:\b(incident\s+(ILD|interstitial\s+lung\s+disease)|ILD\s+incidence|incidence\s+of\s+(ILD|interstitial\s+lung\s+disease)|development\s+of\s+(ILD|interstitial\s+lung\s+disease)|new[-\s]?onset\s+(ILD|interstitial\s+lung\s+disease)|occurrence\s+of\s+(ILD|interstitial\s+lung\s+disease))\b),C,C_incident_ILD,clinical_outcome,incident_ILD,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=63/1493; C/outcome; incident/onset ILD signal frequent in abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,65,4.35,2,AE-ILD=0; progression=4; mortality=19,23,19,mortality,Sensitivity/supporting node retained outside primary display rules.
ICU_admission,RAILD_V2_133,ICU admission,ICU_admission,outcome,outcome,(?i:\b(ICU\s+admission|intensive\s+care\s+unit)\b),C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,vNext: critical care; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,7,0.47,3,AE-ILD=1; progression=2; mortality=5,8,5,mortality,Sensitivity/supporting node retained outside primary display rules.
LTOT,RAILD_V2_130,LTOT,LTOT,outcome,outcome,(?i:\b(long[-\s]?term\s+oxygen\s+therapy|\bLTOT\b)\b),C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,vNext: oxygen requirement; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,1,0.07,1,AE-ILD=0; progression=0; mortality=1,1,1,mortality,Sensitivity/supporting node retained outside primary display rules.
hospitalization,RAILD_V2_052,hospitalization,hospitalization,outcome,outcome,(?i:\bhospitali[sz]ation\b),C,C_secondary_severe_outcome,clinical_outcome,healthcare_utilization,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,admission; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,42,2.81,3,AE-ILD=1; progression=4; mortality=32,37,32,mortality,Sensitivity/supporting node retained outside primary display rules.
lung_transplantation,RAILD_V2_190,lung transplantation,lung_transplantation,outcome,outcome,(?i:\b(lung\s+transplant(ation)?|transplant[-\s]?free\s+survival)\b),C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,FALSE,clinically_or_biologically_interpretable; abstract_regex_qc_passed,complete_from_abstract_20260504; abstract_n=27/1493; C/severe outcome; frequent enough in abstracts; safe_complete_patch_20260519; retained_new_abstract_derived_term_after_low_risk_screen; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.,TRUE,27,1.81,2,AE-ILD=0; progression=12; mortality=24,36,24,mortality,Sensitivity/supporting node retained outside primary display rules.
